row_id,context_dialect,continuation_dialect,combo,context_text,continuation_text,n_ctx_tokens,n_cont_tokens,avg_nll_cont,log_ppl_cont,ppl_cont
7471,SAE,AAE,SAE_AAE,"Ha , they ' re trying to say I ' m out of shape , but I",they did ! ! !,18.0,1.0,12.6875,12.6875,323676.55204902356
8299,AAE,SAE,AAE_SAE,yea he threw us 2picks one was a pick 6 .,. I ’ ll let you get back to your game .,17.0,1.0,12.6796875,12.6796875,321157.68113726657
6168,AAE,SAE,AAE_SAE,Espically nobody door & u dnt know what,know what they have waiting for the other person .,11.0,3.0,12.6640625,12.6640625,316178.592796558
11008,AAE,SAE,AAE_SAE,bro text me your dad email . He told me to email him but I got,a new phone .,18.0,2.0,12.65625,12.65625,313718.07146662584
8379,SAE,AAE,SAE_AAE,"Ask me anything , I ' ll be honest . Why would I need to lie , though ? I '","im grown """,22.0,3.0,12.6171875,12.6171875,301699.72088323324
205,AAE,AAE,AAE_AAE,So wen they lose in the super bowl where ya dickeater gonna b,at den ?,18.0,3.0,12.6015625,12.6015625,297022.30025506933
6168,AAE,AAE,AAE_AAE,Espically nobody door & u dnt know what,dey got waitin for da other person,11.0,1.0,12.5859375,12.5859375,292417.39631226636
7245,SAE,AAE,SAE_AAE,"Tonight I ’ m going to put my body on your body , boy . I like it when",u watch me,21.0,1.0,12.546875,12.546875,281215.0617794355
10357,AAE,SAE,AAE_SAE,cause u act like u 7 when it comes to her big,a big baby !,14.0,1.0,12.53125,12.53125,276855.22635411005
3989,SAE,AAE,SAE_AAE,"You couldn ’ t handle a woman like Meagan Good even if you had her , lol . I ’ m going to give you this girl named Monroe , hahaha — way above your",meter # listen,41.0,3.0,12.46875,12.46875,260081.41614523262
9373,SAE,AAE,SAE_AAE,That ’ s crazy,need to keep they thoughts to they self on the BOSS,6.0,2.0,12.453125,12.453125,256049.22752630242
14659,SAE,SAE,SAE_SAE,"Okay , okay , since",you ’ re begging ! LOL ! * Runs and jumps on you *,6.0,1.0,12.4296875,12.4296875,250117.85355909975
2503,AAE,SAE,AAE_SAE,Its a must to read a book 3 times over,times to unlock its full potential !,12.0,1.0,12.4140625,12.4140625,246240.13566037422
11265,AAE,SAE,AAE_SAE,Its funny how society n da public eye can really place limits,self - expression .,14.0,1.0,12.4140625,12.4140625,246240.13566037422
4110,AAE,SAE,AAE_SAE,trying to focus on making shit right now or the future won,won ' t be pleasant .,14.0,1.0,12.3359375,12.3359375,227734.89723169437
10546,SAE,SAE,SAE_SAE,"Um , it ’ s",snowing and it ’ s really accumulating . I hope I get home before it gets dark and slippery .,6.0,1.0,12.3359375,12.3359375,227734.89723169437
2840,SAE,AAE,SAE_AAE,"Nobody really misses you , so it doesn ’ t make much difference whether you ’ re",dead r alive,20.0,1.0,12.3046875,12.3046875,220728.23104701296
474,SAE,AAE,SAE_AAE,"My boyfriend hasn ’ t called me ; I guess I ’ m going out alone tonight . He has plans , but I don ’ t —","tf ! """,31.0,3.0,12.2109375,12.2109375,200975.34141739144
15574,SAE,AAE,SAE_AAE,"Everything , bro . LOL , you know he ’ s new to that stuff","it ' s too funny "" "" """,17.0,2.0,12.203125,12.203125,199411.33890231265
14541,SAE,AAE,SAE_AAE,Wait . . . Hold on . Please let me,"up . Lol "" "" """,11.0,2.0,12.203125,12.203125,199411.33890231265
1075,AAE,SAE,AAE_SAE,Bad things dont happen in your life for no reason they happen because god is,teaching you a life lesson .,16.0,1.0,12.1953125,12.1953125,197859.50755136734
1677,SAE,SAE,SAE_SAE,Fredo is in the background,", and you really have to watch out — he has hundred - round drums and he ' s going to mess you up .",7.0,1.0,12.171875,12.171875,193276.09699554692
8277,SAE,AAE,SAE_AAE,"hell yeah , and I need to talk to you about",you about how tofet in the program,12.0,2.0,12.140625,12.140625,187329.61663795754
15893,SAE,SAE,SAE_SAE,"Say my name ,",boy . Let me know I ' m in control .,5.0,1.0,12.0625,12.0625,173251.57362786165
3265,SAE,SAE,SAE_SAE,"Up watching TV waiting for this snow to fall , lol . .",. It would be nice to get some though .,15.0,2.0,12.015625,12.015625,165317.80644535722
15827,SAE,AAE,SAE_AAE,Should I get a tattoo after I graduate or while,"or in college ? "" "" """,14.0,1.0,12.0,12.0,162754.79141900392
14683,SAE,SAE,SAE_SAE,"Bro , I told","him he can ' t get mad , because he isn ' t faithful to me .",5.0,2.0,11.984375,11.984375,160231.51225756778
15191,SAE,SAE,SAE_SAE,Sure ! I want,to try to make it to your show too .,5.0,2.0,11.953125,11.953125,155301.7068904384
12348,SAE,SAE,SAE_SAE,"baby is so pretty , it ' s unbelievable , and she",has the biggest eyes !,16.0,1.0,11.9375,11.9375,152893.97709449488
13314,SAE,SAE,SAE_SAE,Down in the area with my son and a couple of,my friends . # ArenaCross,12.0,1.0,11.9375,11.9375,152893.97709449488
11662,SAE,SAE,SAE_SAE,Thank God that girl Mer deleted her account — she really ruins my,interest in social media !,15.0,1.0,11.625,11.625,111859.62321414231
12335,SAE,SAE,SAE_SAE,"Oh , and reduce",your salt intake and drink plenty of water .,5.0,1.0,11.453125,11.453125,94195.24673475562
11511,SAE,SAE,SAE_SAE,"Yeah , I really like him a","lot , lol .",8.0,2.0,11.453125,11.453125,94195.24673475562
