index,context_variant,sae_context,aae_context,sae_continuation,aae_continuation,preferred,A_is,B_is,raw_response
26,AAE,For all of you who wanted some winter weather . . . enjoy ! The rest of us will just get through it . You snow lovers,For all of you that needed some WINTER WEATHER . . . ENJOY ! The rest of us will just ride it out . Yall SNOW people,just sit down and be quiet !,just SAT DOWN AND HUSH ! !,SAE,AAE,SAE,B
27,AAE,My pastor is amazing,My Pastor is off the,"today ! We are diving in ! Preach , ! I ’ m completely committed !",Chain Today ! ! We are plunging in ! ! Preach ! ! I ' M ALL IN ! !,AAE,SAE,AAE,B
28,AAE,Spend less time focusing on what you did wrong and more time focusing on how to make,Spend less time focusing on what you did wrong and more time focusing on how to,sure it never happens again .,never let it happen again .,AAE,AAE,SAE,A
29,AAE,Don ' t worry . . . we all have our struggles . So stop trying,Dont worry . . . . we all have our struggles . So stop trying to,to put mine on display before I open your closet door .,put mine on Display before I kick your closet door open .,SAE,AAE,SAE,B
30,AAE,"Love is truly blind . . . Sooner or later , you realize that . Ladies , happiness might not have six - pack abs",Love is truly blind . . . . Sooner or later U figure that out . Ladies . . . Happiness might not have six pack,", and gentlemen , it might wear a wig .",abs and Fellas . . it might wear a wig .,SAE,AAE,SAE,B
31,AAE,Obstacles bring you closer to God . Now . . . do you see why they ' re necessary,Obstacles bring you closer to God . Now . . . . see why they ' re necessary ?,? JUST REMEMBER : Your best is yet to come .,? JUST REMEMBER : Your Best Is Yet To Come .,AAE,AAE,SAE,A
32,AAE,Funny statistic . . . Twitter activity is down 40 % on legal,Funny Statistic . . . . Twitter activity is down 40 % on,holidays when government offices are closed . Wow ! That says a lot about what you all do all day !,Legal Holidays when Gov offices are shut down . . WOW ! Says alot about what yall do all day !,SAE,AAE,SAE,B
33,AAE,Today was a great day to,Today was a Great Day to be,be an American ! And being African American made the occasion even more meaningful . # ProudBlackMan,an American ! And to be African - American just added more meaning to the occasions . # ProudBlackMan,SAE,SAE,AAE,A
34,AAE,Anyone who left their,Anyone that left their,animal outside tonight should have to go out there with them . # CruelPeople,animal outside tonight should be made to go out there with them . # CruelPeople,SAE,SAE,AAE,A
35,AAE,# ThirdShift . . .,# ThirdShift . . .,"Bring it on ! We aren ' t scared ! Snow ? We laugh at snow ! * * in my quiet , timid voice * * { { Please , Baby Jesus . . . Not tonight } } LOL !",. Bring it on ! We ain ' t Scurd ! Snow ? ? ? We laugh at Snow ! ! * * in my quiet punk voice * * { { Please Baby Jesus . . . Not Tonight } } LOL ! !,AAE,SAE,AAE,B
36,AAE,# RealLife . . . Some things are learned and don ’ t come,# RealLife . . . . . Somethings are learned and don ' t come,with a scripture . ( That one is for the churchgoers . ),with a scripture . ( ( That one is for the Saints ) ),SAE,SAE,AAE,A
37,AAE,"I ' m so intoxicated , my friend , I ' m about to disappear in this place . . . Like",Im so faded my nigga im bout to disappear in this bitch . . Like poof !,poof ! There goes my roof . . . Pow ! There goes my hammer .,Der go my roof . . . Pow ! Der go my hamma,SAE,AAE,SAE,B
38,AAE,"I have a headache , right ? I drank some frozen Kool - Aid really fast , right ? Got brain freeze . . . The headache is gone .",I got a headache rite . . . I drunk some frozen koolaid real fast rite . . . Got brainfreeze . . . . Headache gone . .,. . Boom !,. . Boom !,AAE,AAE,SAE,A
39,AAE,My whole life was a battle . . . I made,My whole life was a battle . . . . . I made,"moves with horses — no saddle , just rattle .",moves wit horses . . No saddle . . . Jus raddle,AAE,AAE,SAE,A
40,AAE,I strive for the gold . . . And choose my own things . Move bricks I ’ ll break and then go sell,I strive for da gold . . . And pic my own shit . Move bricks ill break and go pitch,the whole load .,da whole load,AAE,SAE,AAE,B
41,AAE,"Do I hear my code . . . Unless you ’ re not blessed to understand , I ’ m a man",Do I herr my g code . . . . . . . Unless u not blessd to undastand ima man dat,that got caught up in this mess .,got stuck up in dis mess . .,SAE,AAE,SAE,B
42,AAE,"I love you , Sorya , and I want you to know you do have a friend , and I ’ m here for you no matter what , as a friend . I don ’ t",I love yhu sorya & I want yhu to know yhu do got a friend & im here for yhu nmw on some friend type shit I dont,want to see anything happen .,wany to see nothing happend,AAE,AAE,SAE,A
43,AAE,Was that supposed to be a joke ? That was not funny,""" Was that suppose to be a joke , NOT FUNNY !",! Better luck next time : - ),"Better luck next time : - ) """,SAE,SAE,AAE,A
44,AAE,"Relationships are what you make them , so don ’ t be so difficult about things and your relationships",Relationships r wut u make it so dont be such a bitch about thing and relationships will,will last longer .,last longer .,AAE,SAE,AAE,B
45,AAE,The next time I ’ m in,next time I ' m in,"Jamaica , I suppose — unless you ’ re planning a trip to New York City in the near future ? !",JA I guess unless you ' re planning a trip to NYC in the near future ? !,SAE,AAE,SAE,B
46,AAE,soon ! I might have that,soon . ! Mite hav that,"hookup for you , lol . . . But you just make sure you call me and we ’ ll talk about this .",hook up for yo ass lol . . . bt yu jus make sure yu call me n we go talk about this .,SAE,AAE,SAE,B
47,AAE,I looked around at 2,look around 2,": 13 a . m . and suddenly jumped up and said , "" Self ! ? "" I told myself , "" Huh ? "" Then I said , "" Girl , you forgot to call Ai ! "" And I said , "" Damn ! """,: 13 a . m Myself jumped up and was like self ! ? Itold myself huh ? Myself sed . bitch yu 4gt to call ai . ! myself sed damn !,SAE,AAE,SAE,B
48,AAE,"I love you lol . I am out of class , but I ’ m going to text you now because I just",I love yu lol i am after class . . bt fina txt yu now cus I jus gt slick,got really upset .,pissed . .,AAE,AAE,SAE,A
49,AAE,"You ' re right , I need to cheer up because he ' s in a better place and",right I need to cheer up because he ' s in a better place,people are blaming Honey Cocaine .,and people blaming honey cocaine,SAE,AAE,SAE,B
50,AAE,"Haha , pretty much , that",ha ha ha pretty much that,1997 - 2002 class was really smooth at every school .,97 - 2002 class was real smooth from every school,SAE,AAE,SAE,B
51,AAE,"After - school traffic at Washington decreased . Also , as soon as it got warm during the school year , people left Tech early to",after school traffic at washington went down also soon as it got hot in the school year nigga left tech early to,get to Washington .,get to washington,AAE,SAE,AAE,B
52,AAE,"Women would be too shy to talk to me after the basketball games , but they would find me on BlackPlanet and reach out to me all",chicks would be scared to holla after the basketball games but would find a niga on blackplanet and get at me all,"the time , haha .",the time lol lol,SAE,AAE,SAE,B
53,AAE,"is so funny ,",is too funny this,"he changed his name to his BlackPlanet name , lol lol lol .",nigga changed his name to his bp name lol lol lol,AAE,SAE,AAE,B
54,AAE,"You all definitely did , and we had a couple as well . I also want to thank the locker room at Jackie Robinson for",yall sure did and we had a couple also i wanna thank the locker room at jackie robinson,letting me receive oral sex and for the fingering experience .,for letting me get head and fingerin game,AAE,AAE,SAE,A
55,AAE,I thought your school had a sex scandal because all those nuns were in the same place,i thought yall school had a sex scandal from all those nuns being in the same,with no men around .,place with no penis around,SAE,SAE,AAE,A
56,AAE,There are going to be a,its gonna be alot of,lot of headlights this cold morning — the big nipples are out .,headlights on this cold am the big nipples are out,SAE,SAE,AAE,A
57,AAE,""" You don ' t mess with the Juice ! I gave you silk suits , blue diamonds , and Gucci handbags . I gave you things you couldn ' t",""" You don ' t mess with the Juice ! n I gave you silk suits , blue diamonds and gucci handbags . n I gave you things you couldn ' t","even pronounce ! ""","even pronounce ! """,SAE,SAE,AAE,A
58,AAE,Where is Jayer with her silly self ? I saw her begging for change in the middle of the Grand Avenue Mall the other,wheres is the jayer at with her goofy ass i saw her begging for change in the middle of the grand ave mall,day . Ha .,the other day ha,SAE,AAE,SAE,B
59,AAE,Here ’ s some,Word of,"advice : if it ’ s really cold , don ’ t let anyone use your jacket trying to be a gentleman — you ’ re going to catch the flu .",advice if its real cold dont let nobody use ya jacket trynna b a gentlemen you gon get the flu,SAE,SAE,AAE,A
60,AAE,"It ’ s extremely cold in my house , but my mom still expects me to get up and put all these clothes",""" It ' s freezing cold in my house but my mom still expects me to get up and","away . Hmm , I ’ m not so sure about that .","put all these clothes away , hmm idk about it """,AAE,SAE,AAE,B
61,AAE,Only the last half hour . . . I ' m about to watch the beginning . But this headache,only the last half hour . . Bout to watch the beginning . But this headache is,is stopping me .,stopping me .,AAE,SAE,AAE,B
62,AAE,So she revealed his secret to his wife because he didn ’ t give her the job .,So she just outed him to his wife cause he didn ' t give her the,Shaking my head .,job . Smh .,AAE,AAE,SAE,A
63,AAE,"She won ’ t see anything unless I mention her , because she is a little on",She ain ' t gonna see anything unless I @ her cause she is a lil on,the quiet side .,the nice side .,SAE,AAE,SAE,B
64,AAE,Reconnecting with someone you ' ve known for years that you haven ' t seen in a really long time,Reconnecting with someone you ' ve know for years that you have seen for a really long time,. . . Priceless !,. . . Priceless !,AAE,SAE,AAE,B
65,AAE,Damn . Checks bank account . I think I ' ll pay my,Damn . Checks bank account . I think I ' ll pay my bills,bills and just stay in Philadelphia instead .,and stay my ass in Philly instead .,SAE,AAE,SAE,B
66,AAE,This is exactly why,Exactly why I need,I need a change . . . Not being able to do what you want when you want to is terrible !,a change . . . Not being able to do what you want when you want it sucks !,AAE,AAE,SAE,A
67,AAE,"When people email you instead of texting or calling , it means they shouldn ' t be communicating with you in",When people email you instead of texting or calling that means they shouldn ' t be talking to you in,the first place .,the first place .,SAE,SAE,AAE,A
68,AAE,"So at 2PM I was very tired . Now , at almost 1AM , my body is like , "" No , it isn ’ t time to sleep yet . """,So at 2PM I was super tired . Now at almost 1AM my body is like naw it aint time to sleep yet .,What the heck ?,Wtf ? ?,AAE,SAE,AAE,B
69,AAE,But then my alarm is going to go off at 5 : 30 and I ’ m not going,But then my alarm is gonna go off at 5 : 30 and I ' m,to want to get up .,not gonna wanna get up,AAE,AAE,SAE,A
70,AAE,"I suppose I need to lightly toast this bread so I can make a sandwich , because using the microwave turned",I guess I need to lightly toast this bread so I can make a sandwich . Cause using the,out to be a failure .,microwave proved to be a failure,AAE,AAE,SAE,A
71,AAE,I can see that,I can see,working with him will guarantee that I get out of work late every time .,working with dude will guarantee me out of work late every time .,SAE,SAE,AAE,A
72,AAE,I find this new,Finding this new thing,thing quite interesting . I think I ’ ll have some fun with it …,to be quite interesting . I should have some fun with this . . .,SAE,SAE,AAE,A
73,AAE,I can ' t,Can ' t believe,believe I came home at 4 and sat around in my jeans until just now . That ' s a first .,I came home at 4 and sat around in my jeans until just now . That ' s a first .,AAE,SAE,AAE,B
74,AAE,I need to find,gotta find out if,out if everyone is still going or not . But I ’ m going back when my son gets out of school .,the folks still going down or not . But I ' m going back when the boy gets outta school .,AAE,SAE,AAE,B
75,AAE,I can ’ t,I can ',"pay , but if you find a friend , make sure he has another one .",t treat but if you find a friend makes sure he has another .,SAE,AAE,SAE,B
76,AAE,I swear I ' m going,I swear I ' m,to go to sleep and it ' s going to feel like I have to get right back up .,gonna go to sleep and its gonna feel like I gotta get right back up .,AAE,SAE,AAE,B
77,AAE,As soon as I,As soon as I,stop caring . . . here you come . Leave me in my friend zone ! I ' m fine there .,stop caring . . . Here you come . . Leave me in my friend zone ! I ' m cool there .,SAE,AAE,SAE,B
78,AAE,"Last Tuesday , I forgot my medication at home . This Tuesday",Last Tuesday I forgot my meds at home . This Tuesday,will probably be no different .,will probably be no different .,AAE,AAE,SAE,A
79,AAE,""" If I ever say that I think I '",""" If I ever say I think I ' m","m from Southwest , please proceed to smack the shit out of me ! ""","from southwest please proceed to smack the sh * t outta me ! """,SAE,AAE,SAE,B
80,AAE,"Someone asks me where I ’ m from … My first answer is Philadelphia . They want to know where in Philadelphia , and I ’ ll",""" Somebody ask me where you from . . My first answer is Philly . They wanna know where in Philly and Imma tell em . But if",tell them . But if I say I think …,"I say I think . . . . . """,SAE,SAE,AAE,A
81,AAE,This is the hardest I,Hardest I ' ve ever,"have worked in a single day in 4 . 5 years . I still do not like the job , though .",worked In one day in 4 . 5 years . I still don ' t like the job tho .,SAE,AAE,SAE,B
82,AAE,Women are the pettiest people . I see why people don ’ t,Females are the pettiest people . . I see why mfs don ' t,like having any or too many as friends .,like havin none or too many as friends . .,SAE,AAE,SAE,B
83,AAE,She didn ’ t leave you because you made too many mistakes ; she left because you made the same mistakes,She didn ' t leave you for making too many mistakes she left because you made the same mistakes too,too many times .,many times . .,SAE,SAE,AAE,A
84,AAE,"Lol , idiot . If I mentioned half the girls I ’ ve slept with or seen naked , I ’ d",Lol dumb ass if I say half the girls I fucked or saw naked I fuck,ruin your life .,yo life up,SAE,SAE,AAE,A
85,AAE,I don ' t understand girls — they try their hardest to get involved with a guy who might support them or look out for them,I don ' t get girls they try there hardest to fuck with a nigga who might have there back or might look out,just because he talks about money .,for you cause he talk that cash,AAE,SAE,AAE,B
86,AAE,"Shaking my head , what",Smh what are you,"are you going to support — let me guess , whichever team is winning . Shaking my head , where are the true fans ?",gone dick suck let me guess whatever team that ' s winning Smh where are the true fans,SAE,AAE,SAE,B
87,AAE,I dislike people who always claim they,I hate people that just swear they,' re angry . Just smoke some weed and be happy .,be mad all the time bitch smoke some weed and be happy,SAE,AAE,SAE,B
88,AAE,"Girls like girls , boys like boys — it doesn ' t matter to",Girls like girls boys like boys it don ' t matter to,me . Just don ' t pretend ; you are who you are .,me just don ' t fake it you are who you are,SAE,AAE,SAE,B
89,AAE,"Damn , that ' s why I miss",Damn that way I miss girl,"her , because I know she would drink with me and smoke that loud .",cuz I know she would drink with and blow that loud .,SAE,SAE,AAE,A
90,AAE,I ' m so used to the past that I don ' t know if I can handle,I ' m so use to the past I don ' t know if I can,what ' s happening now .,take what ' s happening now,AAE,AAE,SAE,A
91,AAE,I try to be,I try fuck,"with one girl , but she keeps insisting that I ’ m involved with other girls .",with one girl but she keep swearing u fuck with other girls,SAE,AAE,SAE,B
92,AAE,"Sometimes I feel like I talk the most trash , but then I ’ m like",Sometimes ii Feel ii talk Da Most Shit . . Bt Den ii B Like . .,", who the hell is going to check me ?",Who Da Fukk Gone Check Me . . ? ?,AAE,SAE,AAE,B
93,AAE,Women give themselves a reason to hate,Bitches give Dey self a reason too,"me . . . Hell , why not just make it two !",hate Me . . Hell Y not jus Make it 2 . !,AAE,AAE,SAE,A
94,AAE,Everyone is walking around,Everybody walking around,"wanting to be tough . . . But when it all comes down to it , these people aren ' t really tough after all .",wanna B Bad . . . But wen it Aww Boils Down Dese Bitches ain ' t Bad after aww . !,SAE,AAE,SAE,B
95,AAE,You can ' t be happy having so much hatred in your life . Some things just aren ' t,You Can ' t B happy having So Much hatred in Yo life # Some Shit ain ' t,going to turn out right .,gone turn out right . !,AAE,SAE,AAE,B
96,AAE,"My nose is making me really mad , I swear . It ' s all stuffed up and bothering me . I can ' t",Mii nose Making Me Mad af I swear . . It ' s aww Stopped up in Shit . . Fucking With me . . A nigga Can,even breathe for real .,' t Fuckin Breath fr,SAE,SAE,AAE,A
97,AAE,I can ' t,Can ' t,"wait for Duflocka Rant 2 ; it ' s going to be extremely hard , just like that Metal Jacket 2 .",wait for duflocka rant 2 shit gonna be hard ass fuck like tht metal jacket2,AAE,SAE,AAE,B
98,AAE,": Inside my mind , I couldn ' t find a place to rest until",: Inside my mind couldn ' t find a place to rest .,"I got "" Thug Life "" tattooed on my chest . — Tupac",Until I got that Thug Life tatted on my chest . Tupac,AAE,SAE,AAE,B
99,AAE,About to watch this movie,Finna watch this movie,and wait for my boyfriend to finish getting his hair done .,and wait for the bae to finish getting his hair done,SAE,AAE,SAE,B
100,AAE,""" Cheating is a choice , not a mistake . If you had time to cheat , you had time",""" : Cheating is a choice , not a mistake . If you had time to cheat , you had time","to think about it . ""","to think about it . """,AAE,AAE,SAE,A
101,AAE,My boyfriend is going to tell me not to wear my favorite color — what kind of,My bae gone tell me nt to wear my favorite color fuck,drugs is he on ?,kinda drugs he smoking,SAE,AAE,SAE,B
102,AAE,"You ' re welcome , love . I ' ve seen your videos too . You",Your Welcome Love . Seen Your Videos Too You & Make,and make a great team . Just saying .,A Dope Team . Juss Saying,AAE,SAE,AAE,B
103,AAE,I hope my mom is going to take me to,I hope my momma go take me to,get a tattoo soon like she said .,get a tattoo soon like she said,AAE,AAE,SAE,A
104,AAE,How are you going to tell,how you gone tell me,me to DM you but then not DM me back ? - _ -,to dm you but you dont dm back - _ -,AAE,SAE,AAE,B
105,AAE,you and should be,you and should be,asleep ; you both have class tomorrow and it ' s almost 2 : 00 ! Shame on you all .,asleep you guys have class tomorrow n it ' s almost 2 : 00 ! Shame on yall,SAE,AAE,SAE,B
106,AAE,"Sorry , it won ' t",sorry it won ',"happen again , babe . Love you . You are my world . I don ' t want to lose you .",t happen again bae lov u u my world I dnt wanna lose u,SAE,SAE,AAE,A
107,AAE,"Boy , my girlfriend and I broke up , shaking my head . Now I",Boi me an my gf broke up smh . Now i need,need a friend to talk to .,a friend 2 talk 2,AAE,SAE,AAE,B
108,AAE,One thing about me is I ' ll never tell,One thing about me ill never tell nobody,anyone anything is wrong because I ’ ve already been through it and learned from it !,nun wrong because I then already been there & learnt from it !,AAE,SAE,AAE,B
109,AAE,""" : Wherever you go , no matter what the weather is like , always bring your own sunshine . -",""" : Wherever you go , no matter what the weather , always bring your own sunshine . - Anthony","Anthony J . D ' Angelo ""","J . D ' Angelo """,SAE,AAE,SAE,B
110,AAE,That stuff is going to put me right back to sleep and that ' s wasting it,Dat shyt gone put me rite bak ta sleep n dats wastin it,. . . never mind .,. . . . nvm,AAE,AAE,SAE,A
111,AAE,"Now that I have left school , my attitude is better",Now dat I left school my attitude is now a good,now and thank God .,one n # thank god,AAE,AAE,SAE,A
112,AAE,. . . . . . Because,. . . . . . Cuz,"my mom didn ’ t pay the bill and I had money for it , but this person went and spent it , so I bought other stuff with it - _ -",ma mom aint pay da bill n I had money for it n dis rump - a - skunk sid spend it so I bought other shyt wit it - _ -,SAE,SAE,AAE,A
113,AAE,""" Lol , you could have just ignored it and acted like you didn ’ t see it .",""" Lol , You Coulda Looked Over It & Act Like Yeen C It . &","And Terry wants your number . ""","Terry Want Yo # . """,AAE,SAE,AAE,B
114,AAE,"Be quiet . You know I mess with you 103 percent , for real . You ' re",Stfu . You Know I Fwu 103 TouGh ( : You MY Nigga,my close friend .,Foo ' .,SAE,AAE,SAE,B
115,AAE,I love my team,""" I Love My",. We ’ re all about making money . Forget that drama .,"Team , We All That Get Money Shit . Fucc That Hot Shit . """,SAE,AAE,SAE,B
116,AAE,"Lol , Lelani is NOT going to ruin",""" Lol , Lelani Is NOT Finna Blow",my good mood ! With her foolish self .,"My High ! With Her Stupid Ass . """,AAE,SAE,AAE,B
117,AAE,""" Lol , I '",""" Lol , Im","m high , I thought I asked . Damn , sorry , excuse the weed . ""","High Bitch I Thought I Asked . Damn Hoe , Excuse The Weed . """,SAE,AAE,SAE,B
118,AAE,"In Memphis , there are a",""" In Memphis Its A","lot of promiscuous women , broke men , and nonsense . That ’ s why I have to get away from here .","Bunch of Hoes , Broke Niggas , & Bullshit . Thats Why I Gotta Get Tf Away From Here . """,SAE,AAE,SAE,B
119,AAE,I need to learn how to control my temper . I ’ m,""" I Need To Learn How To Control My Temper , Ima Real",really a hothead .,"Ass Hothead . """,SAE,AAE,SAE,B
120,AAE,"I don ’ t care who you are , young or old , I ’ m going",""" Idgaf Who You Is , Young or Old , Ima Say Whatever",to say whatever I have to say !,"I Got To Say ! """,SAE,AAE,SAE,B
121,AAE,"I want to scream and shout and let it all out , and scream and shout and let it out . We ' re saying , "" Oh , we , oh we , oh we",I wanna scream and shout and let it all outtt and scream and shout and let it out we sayin ' ohhhweeee oh we oh,", oh ! """,we ohhhhh !,AAE,SAE,AAE,B
122,AAE,I ' m not sure,""" Not sure if it","if your pride is just too strong or if this is truly who you are , but wow .","' s your pride that ' s too high or if this is really you , but damn . """,AAE,SAE,AAE,B
123,AAE,I know you are not arguing on this social network,""" I KNOW YOU NOT ARGUING ON THIS SOCIAL NETWORK",", which is exactly what these people want to see .",", which is what these Mfs wanna see ? """,SAE,AAE,SAE,B
124,AAE,"I ' m relaxing until later , because my bed and I are taking care of",""" im chilling until later , cause my bed & i taking care of some",some unfinished business !,"unfinished business ! """,SAE,SAE,AAE,A
125,AAE,I ’ m not,Not goin to sleep,"going to sleep until she wakes up and calls me , so until then … # teamupalldamnnight ! ! !",til she wake dat ass up and call me so until then . . . . . # teamupalldamnnight ! ! !,SAE,AAE,SAE,B
126,AAE,"If I don ’ t give one of my followers that money to hold , I ’ ll be",If ian give # oomf that money to hold I ' ll be shit outta,completely out of luck and very broke !,luck and broke af ! !,AAE,SAE,AAE,B
127,AAE,"I ' m not feeling well , and Tyiah just really annoyed me",Not feelin good and Tyiah just low key pissed me tf off for,for the day !,the day ! !,AAE,SAE,AAE,B
128,AAE,I came just to get my,I came just to get,hair done . . . but her friend made it her business to be there . Shaking my head . . . .,my hair did . . . but ha girl made it ha business to be there Smh . . . .,SAE,AAE,SAE,B
129,AAE,"Hey , tell your girl she ’ s going to have to step her game up . : ) … and yes , this",Aye tell ya girl she gone have to step ha game up . : ) . . . . . and yess this,one is for you too !,one for u too ! !,AAE,SAE,AAE,B
130,AAE,The fact that she hasn ' t even tried to call or text me since I hung,The fact that she ain ' t even try to call or text me since I hung up,up . . . cool !,. . . . . cool !,AAE,AAE,SAE,A
131,AAE,"LOL , man ,",lmao man u,you really need to grammar check your tweets — you sound dumb as fuck !,really need to grammar check your tweets you sound dumb ass fuck !,SAE,SAE,AAE,A
132,AAE,Who do you think,""" Bitchhhhhhh , Who Tf",you are ? This woman just walked upstairs . Where does that even happen ?,"You Think You Is . This Bitch Just Walked Upstairs . O_O Where They Do That At ? """,SAE,AAE,SAE,B
133,AAE,""" I know , that ’ s why I said it . Lol . But one day I ’ m going",""" I Know That ' s Why I Said It , Lol But One Day Ima Get","to get you high ! # BelieveThat ""","You HIGH ! # BelieveThat """,SAE,AAE,SAE,B
134,AAE,: God wouldn ' t put,: God wouldn ' t,you through anything you can ' t handle . What doesn ' t kill you makes you stronger !,put u through nothing u cant handle . What dont kill u makes u stronger !,AAE,AAE,SAE,A
135,AAE,You already know I ’ m going to be extremely excited,""" You Already Know I ' m Gone Be On Cloud 3 , 000",when I go in there .,"When I Go Up In There . """,SAE,SAE,AAE,A
136,AAE,I ’ ve just been relaxing . I can ’ t wait until spring break or summer,I Just Been Chilling . Can ' t Wait Till Spring Break Or Summer So I,so I can see all of you .,Can See All Y ' all .,AAE,SAE,AAE,B
137,AAE,You think I don ’ t duck below those,You Think I Don ' t Be Ducking Below Them,windows ? I value my life !,Windows . I Value My Life !,AAE,AAE,SAE,A
138,AAE,"If anyone has a problem with Steffanie ,",If anybody got a probelm W / Steffanie Keep,be honest and make it known !,it 1Hunna & let it be KNOWN !,AAE,AAE,SAE,A
139,AAE,"No , I wanted to , but there were too many people around so I had to",""" Nahh , I Wanted To . . . But Too Many People Were Around So I Had To",tough it out .,"Thug It Out . """,SAE,SAE,AAE,A
